run,dataset,metric,step,pointmap_loss
dtok16,nuScenes,single,6744,1.182600
dtok16,nuScenes,single,7306,1.195257
dtok16,nuScenes,single,7868,0.970663
dtok16,nuScenes,single,8430,1.009295
dtok16,nuScenes,single,8992,0.900422
dtok16,nuScenes,single,9554,0.917112
dtok16,nuScenes,single,10116,0.823465
dtok16,nuScenes,single,10678,0.722983
dtok16,nuScenes,single,11240,0.757033
dtok16,nuScenes,single,11802,0.739956
dtok16,nuScenes,single,12364,0.743064
dtok16,nuScenes,single,12926,0.729238
dtok16,nuScenes,single,13488,0.691374
dtok16,nuScenes,single,14050,0.699459
dtok16,nuScenes,single,14612,0.641483
dtok16,nuScenes,single,15174,0.655571
dtok16,nuScenes,single,15736,0.645805
dtok16,nuScenes,single,16298,0.617376
dtok16,nuScenes,single,16860,0.618174
dtok16,nuScenes,single,17422,0.629079
dtok16,nuScenes,single,17984,0.600956
dtok16,nuScenes,single,18546,0.608711
dtok16,nuScenes,single,19108,0.619372
dtok16,nuScenes,single,19670,0.641762
dtok16,nuScenes,single,20232,0.619332
dtok16,nuScenes,single,20794,0.625871
dtok16,nuScenes,single,21356,0.609305
dtok16,nuScenes,single,21918,0.590829
dtok16,nuScenes,single,22480,0.587777
dtok16,nuScenes,single,23042,0.584306
dtok16,nuScenes,single,23604,0.610049
dtok16,nuScenes,single,24166,0.591847
dtok16,nuScenes,single,24728,0.562321
dtok16,nuScenes,single,25290,0.596101
dtok16,nuScenes,single,25852,0.542274
dtok16,nuScenes,single,26414,0.602784
dtok16,nuScenes,single,26976,0.604168
dtok16,nuScenes,single,27538,0.533343
dtok16,nuScenes,single,28100,0.540179
dtok16,nuScenes,single,28662,0.584643
dtok16,nuScenes,single,29224,0.605499
dtok16,nuScenes,single,29786,0.547053
dtok16,nuScenes,single,30348,0.531984
dtok16,nuScenes,single,30910,0.596224
dtok16,nuScenes,single,31472,0.549058
dtok16,nuScenes,single,32034,0.534983
dtok16,nuScenes,single,32596,0.527811
dtok16,nuScenes,single,33158,0.514697
dtok16,nuScenes,single,33720,0.516564
dtok16,nuScenes,single,34282,0.530996
dtok16,nuScenes,single,34844,0.536168
dtok16,nuScenes,single,35406,0.574779
dtok16,nuScenes,single,35968,0.532970
